
Devices
1000
,,Imported Bertec Force Plate #1 - Force,,,Imported Bertec Force Plate #1 - Moment,,,Imported Bertec Force Plate #1 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
88,0,0,0,0,0,0,0,202,300,0
88,1,0,0,0,0,0,0,202,300,0
88,2,0,0,0,0,0,0,202,300,0
88,3,0,0,0,0,0,0,202,300,0
89,0,0,0,0,0,0,0,202,300,0
89,1,0,0,0,0,0,0,202,300,0
89,2,0,0,0,0,0,0,202,300,0
89,3,0,0,0,0,0,0,202,300,0
90,0,0,0,0,0,0,0,202,300,0
90,1,0,0,0,0,0,0,202,300,0
90,2,0,0,0,0,0,0,202,300,0
90,3,0,0,0,0,0,0,202,300,0
91,0,0,0,0,0,0,0,202,300,0
91,1,0,0,0,0,0,0,202,300,0
91,2,0,0,0,0,0,0,202,300,0
91,3,0,0,0,0,0,0,202,300,0
92,0,0,0,0,0,0,0,202,300,0
92,1,0,0,0,0,0,0,202,300,0
92,2,0,0,0,0,0,0,202,300,0
92,3,0,0,0,0,0,0,202,300,0
93,0,0,0,0,0,0,0,202,300,0
93,1,0,0,0,0,0,0,202,300,0
93,2,0,0,0,0,0,0,202,300,0
93,3,0,0,0,0,0,0,202,300,0
94,0,0,0,0,0,0,0,202,300,0
94,1,0,0,0,0,0,0,202,300,0
94,2,0,0,0,0,0,0,202,300,0
94,3,0,0,0,0,0,0,202,300,0
95,0,0,0,0,0,0,0,202,300,0
95,1,0,0,0,0,0,0,202,300,0
95,2,0,0,0,0,0,0,202,300,0
95,3,0,0,0,0,0,0,202,300,0
96,0,0,0,0,0,0,0,202,300,0
96,1,0,0,0,0,0,0,202,300,0
96,2,0,0,0,0,0,0,202,300,0
96,3,0,0,0,0,0,0,202,300,0
97,0,0,0,0,0,0,0,202,300,0
97,1,0,0,0,0,0,0,202,300,0
97,2,0,0,0,0,0,0,202,300,0
97,3,0,0,0,0,0,0,202,300,0
98,0,0,0,0,0,0,0,202,300,0
98,1,0,0,0,0,0,0,202,300,0
98,2,0,0,0,0,0,0,202,300,0
98,3,0,0,0,0,0,0,202,300,0
99,0,0,0,0,0,0,0,202,300,0
99,1,0,0,0,0,0,0,202,300,0
99,2,0,0,0,0,0,0,202,300,0
99,3,0,0,0,0,0,0,202,300,0
100,0,0,0,0,0,0,0,202,300,0
100,1,0,0,0,0,0,0,202,300,0
100,2,0,0,0,0,0,0,202,300,0
100,3,0,0,0,0,0,0,202,300,0
101,0,0,0,0,0,0,0,202,300,0
101,1,0,0,0,0,0,0,202,300,0
101,2,0,0,0,0,0,0,202,300,0
101,3,0,0,0,0,0,0,202,300,0
102,0,0,0,0,0,0,0,202,300,0
102,1,0,0,0,0,0,0,202,300,0
102,2,0,0,0,0,0,0,202,300,0
102,3,0,0,0,0,0,0,202,300,0
103,0,0,0,0,0,0,0,202,300,0
103,1,0,0,0,0,0,0,202,300,0
103,2,0,0,0,0,0,0,202,300,0
103,3,0,0,0,0,0,0,202,300,0
104,0,0,0,0,0,0,0,202,300,0
104,1,0,0,0,0,0,0,202,300,0
104,2,0,0,0,0,0,0,202,300,0
104,3,0,0,0,0,0,0,202,300,0
105,0,0,0,0,0,0,0,202,300,0
105,1,0,0,0,0,0,0,202,300,0
105,2,0,0,0,0,0,0,202,300,0
105,3,0,0,0,0,0,0,202,300,0
106,0,0,0,0,0,0,0,202,300,0
106,1,0,0,0,0,0,0,202,300,0
106,2,0,0,0,0,0,0,202,300,0
106,3,0,0,0,0,0,0,202,300,0
107,0,0,0,0,0,0,0,202,300,0
107,1,0,0,0,0,0,0,202,300,0
107,2,0,0,0,0,0,0,202,300,0
107,3,0,0,0,0,0,0,202,300,0
108,0,0,0,0,0,0,0,202,300,0
108,1,0,0,0,0,0,0,202,300,0
108,2,0,0,0,0,0,0,202,300,0
108,3,0,0,0,0,0,0,202,300,0
109,0,0,0,0,0,0,0,202,300,0
109,1,0,0,0,0,0,0,202,300,0
109,2,0,0,0,0,0,0,202,300,0
109,3,0,0,0,0,0,0,202,300,0
110,0,0,0,0,0,0,0,202,300,0
110,1,0,0,0,0,0,0,202,300,0
110,2,0,0,0,0,0,0,202,300,0
110,3,0,0,0,0,0,0,202,300,0
111,0,0,0,0,0,0,0,202,300,0
111,1,0,0,0,0,0,0,202,300,0
111,2,0,0,0,0,0,0,202,300,0
111,3,0,0,0,0,0,0,202,300,0
112,0,0,0,0,0,0,0,202,300,0
112,1,0,0,0,0,0,0,202,300,0
112,2,0,0,0,0,0,0,202,300,0
112,3,0,0,0,0,0,0,202,300,0
113,0,0,0,0,0,0,0,202,300,0
113,1,0,0,0,0,0,0,202,300,0
113,2,0,0,0,0,0,0,202,300,0
113,3,0,0,0,0,0,0,202,300,0
114,0,0,0,0,0,0,0,202,300,0
114,1,0,0,0,0,0,0,202,300,0
114,2,0,0,0,0,0,0,202,300,0
114,3,0,0,0,0,0,0,202,300,0
115,0,0,0,0,0,0,0,202,300,0
115,1,0,0,0,0,0,0,202,300,0
115,2,0,0,0,0,0,0,202,300,0
115,3,0,0,0,0,0,0,202,300,0
116,0,0,0,0,0,0,0,202,300,0
116,1,0,0,0,0,0,0,202,300,0
116,2,0,0,0,0,0,0,202,300,0
116,3,0,0,0,0,0,0,202,300,0
117,0,0,0,0,0,0,0,202,300,0
117,1,0,0,0,0,0,0,202,300,0
117,2,0,0,0,0,0,0,202,300,0
117,3,0,0,0,0,0,0,202,300,0
118,0,0,0,0,0,0,0,202,300,0
118,1,0,0,0,0,0,0,202,300,0
118,2,0,0,0,0,0,0,202,300,0
118,3,0,0,0,0,0,0,202,300,0
119,0,0,0,0,0,0,0,202,300,0
119,1,0,0,0,0,0,0,202,300,0
119,2,0,0,0,0,0,0,202,300,0
119,3,0,0,0,0,0,0,202,300,0
120,0,0,0,0,0,0,0,202,300,0
120,1,0,0,0,0,0,0,202,300,0
120,2,0,0,0,0,0,0,202,300,0
120,3,0,0,0,0,0,0,202,300,0
121,0,0,0,0,0,0,0,202,300,0
121,1,0,0,0,0,0,0,202,300,0
121,2,0,0,0,0,0,0,202,300,0
121,3,0,0,0,0,0,0,202,300,0
122,0,0,0,0,0,0,0,202,300,0
122,1,0,0,0,0,0,0,202,300,0
122,2,0,0,0,0,0,0,202,300,0
122,3,0,0,0,0,0,0,202,300,0
123,0,0,0,0,0,0,0,202,300,0
123,1,0,0,0,0,0,0,202,300,0
123,2,0,0,0,0,0,0,202,300,0
123,3,0,0,0,0,0,0,202,300,0
124,0,0,0,0,0,0,0,202,300,0
124,1,0,0,0,0,0,0,202,300,0
124,2,0,0,0,0,0,0,202,300,0
124,3,0,0,0,0,0,0,202,300,0
125,0,0,0,0,0,0,0,202,300,0
125,1,0,0,0,0,0,0,202,300,0
125,2,0,0,0,0,0,0,202,300,0
125,3,0,0,0,0,0,0,202,300,0
126,0,0,0,0,0,0,0,202,300,0
126,1,0,0,0,0,0,0,202,300,0
126,2,0,0,0,0,0,0,202,300,0
126,3,0,0,0,0,0,0,202,300,0
127,0,0,0,0,0,0,0,202,300,0
127,1,0,0,0,0,0,0,202,300,0
127,2,0,0,0,0,0,0,202,300,0
127,3,0,0,0,0,0,0,202,300,0
128,0,0,0,0,0,0,0,202,300,0
128,1,0,0,0,0,0,0,202,300,0
128,2,0,0,0,0,0,0,202,300,0
128,3,0,0,0,0,0,0,202,300,0
129,0,0,0,0,0,0,0,202,300,0
129,1,0,0,0,0,0,0,202,300,0
129,2,0,0,0,0,0,0,202,300,0
129,3,0,0,0,0,0,0,202,300,0
130,0,0,0,0,0,0,0,202,300,0
130,1,0,0,0,0,0,0,202,300,0
130,2,0,0,0,0,0,0,202,300,0
130,3,0,0,0,0,0,0,202,300,0
131,0,0,0,0,0,0,0,202,300,0
131,1,0,0,0,0,0,0,202,300,0
131,2,0,0,0,0,0,0,202,300,0
131,3,0,0,0,0,0,0,202,300,0
132,0,0,0,0,0,0,0,202,300,0
132,1,0,0,0,0,0,0,202,300,0
132,2,0,0,0,0,0,0,202,300,0
132,3,0,0,0,0,0,0,202,300,0
133,0,0,0,0,0,0,0,202,300,0
133,1,0,0,0,0,0,0,202,300,0
133,2,0,0,0,0,0,0,202,300,0
133,3,0,0,0,0,0,0,202,300,0
134,0,0,0,0,0,0,0,202,300,0
134,1,0,0,0,0,0,0,202,300,0
134,2,0,0,0,0,0,0,202,300,0
134,3,0,0,0,0,0,0,202,300,0
135,0,0,0,0,0,0,0,202,300,0
135,1,0,0,0,0,0,0,202,300,0
135,2,0,0,0,0,0,0,202,300,0
135,3,0,0,0,0,0,0,202,300,0
136,0,0,0,0,0,0,0,202,300,0
136,1,0,0,0,0,0,0,202,300,0
136,2,0,0,0,0,0,0,202,300,0
136,3,0,0,0,0,0,0,202,300,0
137,0,0,0,0,0,0,0,202,300,0
137,1,0,0,0,0,0,0,202,300,0
137,2,0,0,0,0,0,0,202,300,0
137,3,0,0,0,0,0,0,202,300,0
138,0,0,0,0,0,0,0,202,300,0
138,1,0,0,0,0,0,0,202,300,0
138,2,0,0,0,0,0,0,202,300,0
138,3,0,0,0,0,0,0,202,300,0
139,0,0,0,0,0,0,0,202,300,0
139,1,0,0,0,0,0,0,202,300,0
139,2,0,0,0,0,0,0,202,300,0
139,3,0,0,0,0,0,0,202,300,0
140,0,0,0,0,0,0,0,202,300,0
140,1,0,0,0,0,0,0,202,300,0
140,2,0,0,0,0,0,0,202,300,0
140,3,0,0,0,0,0,0,202,300,0
141,0,0,0,0,0,0,0,202,300,0
141,1,0,0,0,0,0,0,202,300,0
141,2,0,0,0,0,0,0,202,300,0
141,3,0,0,0,0,0,0,202,300,0
142,0,0,0,0,0,0,0,202,300,0
142,1,0,0,0,0,0,0,202,300,0
142,2,0,0,0,0,0,0,202,300,0
142,3,0,0,0,0,0,0,202,300,0
143,0,0,0,0,0,0,0,202,300,0
143,1,0,0,0,0,0,0,202,300,0
143,2,0,0,0,0,0,0,202,300,0
143,3,0,0,0,0,0,0,202,300,0
144,0,0,0,0,0,0,0,202,300,0
144,1,0,0,0,0,0,0,202,300,0
144,2,0,0,0,0,0,0,202,300,0
144,3,0,0,0,0,0,0,202,300,0
145,0,0,0,0,0,0,0,202,300,0
145,1,0,0,0,0,0,0,202,300,0
145,2,0,0,0,0,0,0,202,300,0
145,3,0,0,0,0,0,0,202,300,0
146,0,0,0,0,0,0,0,202,300,0
146,1,0,0,0,0,0,0,202,300,0
146,2,0,0,0,0,0,0,202,300,0
146,3,0,0,0,0,0,0,202,300,0
147,0,0,0,0,0,0,0,202,300,0
147,1,0,0,0,0,0,0,202,300,0
147,2,0,0,0,0,0,0,202,300,0
147,3,0,0,0,0,0,0,202,300,0
148,0,0,0,0,0,0,0,202,300,0
148,1,0,0,0,0,0,0,202,300,0
148,2,0,0,0,0,0,0,202,300,0
148,3,0,0,0,0,0,0,202,300,0
149,0,0,0,0,0,0,0,202,300,0
149,1,0,0,0,0,0,0,202,300,0
149,2,0,0,0,0,0,0,202,300,0
149,3,0,0,0,0,0,0,202,300,0
150,0,0,0,0,0,0,0,202,300,0
150,1,0,0,0,0,0,0,202,300,0
150,2,0,0,0,0,0,0,202,300,0
150,3,0,0,0,0,0,0,202,300,0
151,0,0,0,0,0,0,0,202,300,0
151,1,0,0,0,0,0,0,202,300,0
151,2,0,0,0,0,0,0,202,300,0
151,3,0,0,0,0,0,0,202,300,0
152,0,0,0,0,0,0,0,202,300,0
152,1,0,0,0,0,0,0,202,300,0
152,2,0,0,0,0,0,0,202,300,0
152,3,0,0,0,0,0,0,202,300,0
153,0,0,0,0,0,0,0,202,300,0
153,1,0,0,0,0,0,0,202,300,0
153,2,0,0,0,0,0,0,202,300,0
153,3,0,0,0,0,0,0,202,300,0
154,0,0,0,0,0,0,0,202,300,0
154,1,0,0,0,0,0,0,202,300,0
154,2,0,0,0,0,0,0,202,300,0
